index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
3715,PSR Krish Kamal,12.8401471,77.6440323,Apartment,"Electronic City, Bengaluru",2.1681021922963244,0.31268733230374385,9,10,627
3716,HARIPRIYA SAMRUDDHI APARTMENTS,12.8417076,77.6467992,Apartment,"Electronic City, Bengaluru",1.8352555857504023,0.053214637799622315,8,9,510
3717,Laasya Pride,12.8406689,77.6641812,Apartment,"Electronic City, Bengaluru",0.5191083175858525,1.9397832104296489,4,4,244
3718,Velocity apartment- Apartments in Electronic City,12.8347451,77.6631014,Apartment,"Electronic City, Bengaluru",1.1698026853848456,1.982398519109322,9,9,536
3719,VC Apartment,12.8489848,77.6831051,Apartment,"Electronic City, Bengaluru",2.1834143155182164,4.06513319319398,14,14,847
3720,Vasavi Icon Apartment,12.8326935,77.665385,Apartment,"Electronic City, Bengaluru",1.415311200397633,2.303026915480961,7,7,427
3721,Dreamz Siddhi Apartment,12.8342885,77.6717845,Apartment,"Electronic City, Bengaluru",1.5261969481738877,2.884844577086879,10,10,625
3722,Neo Elite Apartments,12.8477175,77.6501545,Apartment,"Electronic City, Bengaluru",1.4542332619536384,0.7733177585845126,8,9,549
3723,SNN Raj Greenbay,12.8531818,77.6779318,Apartment,"Electronic City, Bengaluru",1.8113945144938874,3.650498807262659,12,13,760
3724,Unitech Apartments,12.8405772,77.6687496,Apartment,"Electronic City, Bengaluru",0.7852957647795293,2.434731309633916,6,6,374
3725,Celebrity Signature,12.8470372,77.6449731,Apartment,"Electronic City, Bengaluru",1.9998743828971826,0.5955481630250402,11,12,732
3726,Ramky One Karnival,12.8286491,77.6617925,Apartment,"Electronic City, Bengaluru",1.8548911695582002,2.228035764114776,10,10,576
3727,Teja Intro Apartment,12.8478083,77.6521786,Apartment,"Electronic City, Bengaluru",1.2416428594535789,0.9172995940967311,7,8,466
3728,Pride Homes Apartment,12.8401517,77.6451823,Apartment,"Electronic City, Bengaluru",2.047913999923419,0.22587165040720594,9,10,594
3729,JMR Lotus Apartments,12.8329393,77.6694838,Apartment,"Electronic City, Bengaluru",1.5241099257166895,2.6986229150306005,8,8,508
3730,Sai Tirumala Residency Apartment,12.8476151,77.64552,Apartment,"Electronic City, Bengaluru",1.9484603423320699,0.6473414581291618,11,13,752
3731,My Nest Apartment,12.8328717,77.6565284,Apartment,"Electronic City, Bengaluru",1.5627697281745676,1.4895093247567595,7,8,455
3732,Sai Priya Serenity Apartments,12.8406505,77.646027,Apartment,"Electronic City, Bengaluru",1.9447396389057112,0.13705407001579625,9,10,570
3733,Athithi Pride Apartments,12.84042,77.6465382,Apartment,"Electronic City, Bengaluru",1.8984488498168948,0.16029937701176758,9,9,554
3734,K and T Aiswaryam Apartments,12.8481184,77.6482053,Apartment,"Electronic City, Bengaluru",1.6701646962760726,0.7263682674871659,10,10,615
3735,Jai Ramapir Mobile Point,12.8330776,77.6673629,Apartment,"Electronic City, Bengaluru",1.4237506658560592,2.4800785939468653,8,8,460
3736,Srinivasam Apartments,12.842069,77.6460042,Apartment,"Electronic City, Bengaluru",1.911636734507396,0.04305296025633562,8,9,547
3737,Sujana Apartment I,12.8467041,77.646365,Apartment,"Electronic City, Bengaluru",1.8461900092599421,0.5400769442555171,11,11,687
3738,White House Apartment,12.8506394,77.671872,Apartment,"Electronic City, Bengaluru",1.10224290763643,2.9366056305711288,13,13,785
3739,Srivanth Green View Apartment,12.8411741,77.664317,Apartment,"Electronic City, Bengaluru",0.46708545319932265,1.9515097425436478,4,4,255
3740,Haripriya Samruddi Apartments,12.8412591,77.6489561,Apartment,"Electronic City, Bengaluru",1.6206846870230922,0.29215108577496285,7,7,448
3741,Columbia Aaltius,12.8371011,77.6782341,Apartment,"Electronic City, Bengaluru",1.8532367409422723,3.4989381038519936,10,10,621
3742,MJR Clique - OC Recv. 2 %26 3BHK Apartments in Electronic City,12.8297792,77.6662167,Apartment,"Electronic City, Bengaluru",1.7499342228460684,2.5395607117058296,8,9,510
3743,PADHASEELA Apartments,12.8534859,77.6846028,Apartment,"Electronic City, Bengaluru",2.4808275820222376,4.346380431406638,16,17,993
3744,SJR Equinox Apartment,12.8489724,77.6570602,Apartment,"Electronic City, Bengaluru",0.795086839634529,1.4074896041492064,5,5,295
3745,Vanajakshi R Apartment,12.8572004,77.6766999,Apartment,"Electronic City, Bengaluru",1.9653847240706634,3.7087391004345918,15,15,873
3746,Moon Mist Apartments,12.8483294,77.6495805,Apartment,"Electronic City, Bengaluru",1.5291186865240691,0.8023348496554368,9,9,558
3747,Celebrity Classic Apartment,12.8470154,77.6457699,Apartment,"Electronic City, Bengaluru",1.9136837938217712,0.577874107592121,12,13,775
3748,Sree Sai Home Style Apartments,12.8495091,77.6483623,Apartment,"Electronic City, Bengaluru",1.6899757802588304,0.880001835508754,9,10,611
3749,Vasavi Pearl Apartment,12.8471284,77.6453379,Apartment,"Electronic City, Bengaluru",1.9615685422424036,0.5970060447070399,12,13,762
3750,Neeladri Castle Apartment,12.8390516,77.6503952,Apartment,"Electronic City, Bengaluru",1.5631837036593483,0.5393517350744291,7,8,462
3751,"Manifest White Orchid, Block-A, Celebrity Paradise Main Street",12.8478375,77.6547259,Apartment,"Electronic City, Bengaluru",0.9757377514231317,1.1279356983694278,6,7,402
3752,GLR NEELA,12.842079,77.645755,Apartment,"Electronic City, Bengaluru",1.9379859101117556,0.06742634121449212,8,9,545
3753,Balaji Serenity Apartment,12.8499677,77.6497693,Apartment,"Electronic City, Bengaluru",1.5604497459280842,0.9769268628350509,8,9,516
3754,Arka Residency,12.8532888,77.6576707,Apartment,"Electronic City, Bengaluru",1.0829870602881226,1.769257367949416,5,6,348
3755,Dayakamal Apartments,12.8493965,77.6527777,Apartment,"Electronic City, Bengaluru",1.2328814097338792,1.0923951272077241,7,8,453
3756,Alps South Brook Apartment,12.8394537,77.6462965,Apartment,"Electronic City, Bengaluru",1.9563955302260716,0.2661697622927115,9,10,582
3757,Om Sai Pearls(Apartment),12.8412951,77.6453845,Apartment,"Electronic City, Bengaluru",1.994943636160414,0.11945505782440931,9,9,566
3759,Sri Vishnu pearls apartment,12.8473252,77.6802654,Apartment,"Electronic City, Bengaluru",1.85024951875743,3.7291421214513587,12,12,719
3761,SK Daisy,12.8320322,77.6490269,Apartment,"Electronic City, Bengaluru",2.137535828926304,1.1298755553014554,12,13,798
3762,Devaragan apartments,12.8512546,77.6842192,Apartment,"Electronic City, Bengaluru",2.360574554129359,4.238769343862323,15,15,919
3763,Reliable Domicile Apartment,12.8616775,77.6629633,Apartment,"Electronic City, Bengaluru",1.8256436845963553,2.8484805180340227,17,18,1068
3764,Pravalika Apartment,12.8530178,77.6692188,Apartment,"Electronic City, Bengaluru",1.0728936177100816,2.774957759178722,15,16,940
3765,Srinivasa Nilaya Apartment,12.8464124,77.6491261,Apartment,"Electronic City, Bengaluru",1.545181870709983,0.5912658654679175,11,11,668
3766,"HAMSA RESIDENCY, Electronics City Phase 1.",12.8479255,77.6561651,Apartment,"Electronic City, Bengaluru",0.8312786684165829,1.2624432716307352,4,4,260
3767,Vasavi Rainbow,12.8498033,77.6454386,Apartment,"Electronic City, Bengaluru",2.004270125939001,0.8899381813158018,10,11,633
3768,Shanthi Apartments,12.8537963,77.6683989,Apartment,"Electronic City, Bengaluru",1.0964921405048647,2.7367284904520153,16,18,1055
3769,Neeladri Residency,12.8496546,77.6811142,Apartment,"Electronic City, Bengaluru",1.9888765220848665,3.8696995755020533,12,12,731
3770,Phoenix Meadows Apartment,12.8405344,77.6502507,Apartment,"Electronic City, Bengaluru",1.5123296773862962,0.449457566826984,7,7,429
3771,Prashant Residency,12.8477762,77.645249,Apartment,"Electronic City, Bengaluru",1.9800261116423818,0.6696052201147684,12,13,760
3772,Pragathi Royale- II,12.8491267,77.6453934,Apartment,"Electronic City, Bengaluru",1.9914409039236887,0.8157843341882072,10,11,650
3773,Murari Classic,12.8319782,77.666068,Apartment,"Electronic City, Bengaluru",1.506732506318308,2.404915925204459,8,8,463
3775,SRK Silicana,12.8492152,77.6509865,Apartment,"Electronic City, Bengaluru",1.4085030663165055,0.9623440021138793,8,9,535
3776,Sri Balaji Residency,12.8461528,77.6424605,Apartment,"Electronic City, Bengaluru",2.2646821210416,0.6365285243643262,12,13,787
3777,Nenapu Apartments,12.8497392,77.6527039,Apartment,"Electronic City, Bengaluru",1.2549286944796287,1.116975152078991,7,7,443
3778,Aristo Marvel - Aakruti Properties And Constructions,12.8384012,77.6470954,Apartment,"Electronic City, Bengaluru",1.9183342406617154,0.39206724927369213,10,10,606
3779,Sumukha Apartment,12.8410909,77.6461161,Apartment,"Electronic City, Bengaluru",1.9230247487302168,0.0872269178992805,9,9,556
3780,Balaji Residency Apartment,12.8473684,77.6462941,Apartment,"Electronic City, Bengaluru",1.8616850290590072,0.6139424082524865,12,13,787
3781,venkatgiri apartment,12.83954,77.6458804,Apartment,"Electronic City, Bengaluru",1.9959514246916483,0.26113263746723253,10,10,615
3782,RNS Apartment,12.8531639,77.6717225,Apartment,"Electronic City, Bengaluru",1.2647571574107195,3.02683889654963,13,14,838
3783,Elite Abhyudaya 1,12.8462236,77.6549188,Apartment,"Electronic City, Bengaluru",0.9181233137238661,1.050660776800681,7,7,443
3784,NEST Apartment,12.8411389,77.6471176,Apartment,"Electronic City, Bengaluru",1.816489534307101,0.11618743221490424,8,9,512
3785,Srikara ABODE,12.8464403,77.6525866,Apartment,"Electronic City, Bengaluru",1.1720607760315958,0.8491019873877171,8,8,506
3786,KMB CLASSIC,12.8469486,77.6503393,Apartment,"Electronic City, Bengaluru",1.4207772743325673,0.7146537185488385,9,10,601
3787,Vruddhi Mabella,12.8405841,77.6460336,Apartment,"Electronic City, Bengaluru",1.9460106345753423,0.1440723592629386,9,10,573
3788,Ajmera Infinity G Block,12.8435428,77.6474354,Apartment,"Electronic City, Bengaluru",1.7337730425544604,0.22342268870597964,9,10,597
3789,Falcon Apartment,12.8383273,77.6488824,Apartment,"Electronic City, Bengaluru",1.74590164574155,0.4793547202268016,9,9,527
3790,Paramount Raghavendra Akash,12.8490711,77.6713746,Apartment,"Electronic City, Bengaluru",0.9694767482540798,2.8315008508129647,13,14,823
3791,Maruthi Gold,12.8456391,77.6526181,Apartment,"Electronic City, Bengaluru",1.1620667432238894,0.8015958281949775,8,9,536
3792,Ganga Vertica,12.84157,77.6481756,Apartment,"Electronic City, Bengaluru",1.693490267706852,0.20248095815382933,8,8,488
3793,Passion Elite-1,12.8506842,77.6534134,Apartment,"Electronic City, Bengaluru",1.2325513742206529,1.2471254449466724,6,6,381
3794,Shri Mulayam Apartment E-city Phase 2,12.850302,77.685337,Apartment,"Electronic City, Bengaluru",2.450705206912997,4.332099818017763,16,16,976
3795,VSR Sunshine Apartment,12.8484615,77.6517506,Apartment,"Electronic City, Bengaluru",1.3047630328407895,0.941440327520319,8,8,500
3796,R S Happy Homes Apartment,12.8319947,77.6668787,Apartment,"Electronic City, Bengaluru",1.5247060063338198,2.482638437112089,8,8,493
3797,Shri Ram apartment,12.8328023,77.6471519,Apartment,"Electronic City, Bengaluru",2.2352147815971897,1.0096908648889629,12,13,774
3798,Shree Palace,12.8323503,77.6660214,Apartment,"Electronic City, Bengaluru",1.4651758131498671,2.381788925366548,8,8,457
3799,RK NEST AND SERVICE APARTMENT,12.8505076,77.672263,Apartment,"Electronic City, Bengaluru",1.1304581007876084,2.9718295035307927,12,13,753
3800,Abhyudaya apts 2,12.8460086,77.6550716,Apartment,"Electronic City, Bengaluru",0.8991542494455163,1.054664612455217,7,7,449
3801,Grexter Polaris,12.8387213,77.650401,Apartment,"Electronic City, Bengaluru",1.5791978126562114,0.5618169789222235,8,8,473
3802,Concorde Silicon Valley,12.8391069,77.6520589,Apartment,"Electronic City, Bengaluru",1.4006254986462765,0.6918428059869133,7,7,425
3803,Green View Residency,12.8472846,77.6432413,Apartment,"Electronic City, Bengaluru",2.189437009027194,0.6911304359878473,11,12,722
3804,Breeze County,12.8460795,77.6525167,Apartment,"Electronic City, Bengaluru",1.17581635896101,0.8193783256628421,8,9,518
3805,Celebrity Diamond Apartment,12.8457421,77.6528585,Apartment,"Electronic City, Bengaluru",1.1365007236436278,0.8297952484404646,8,9,532
3806,Sri vasane Sreenivasa Apartment,12.8456329,77.652829,Apartment,"Electronic City, Bengaluru",1.1391926252089846,0.8207758328187591,8,9,536
3807,Nakoda Apartments,12.8390445,77.6464846,Apartment,"Electronic City, Bengaluru",1.95280372679125,0.3120985879239195,9,10,602
3808,Sri Sai Brundavanam apartment,12.8487925,77.6505957,Apartment,"Electronic City, Bengaluru",1.4352586776852805,0.9001752035137589,8,9,516
3809,MJR Clique Hydra,12.8295755,77.6663292,Apartment,"Electronic City, Bengaluru",1.7744185580788507,2.561916905628002,9,9,532
3810,Casa Apartment's,12.8536064,77.6846629,Apartment,"Electronic City, Bengaluru",2.491842547935059,4.356602630069717,16,17,999
3811,Happy Homes 2,12.8348897,77.6498567,Apartment,"Electronic City, Bengaluru",1.8612254287472514,0.8629794400080505,13,15,877
3813,The Coach Villaments,12.8406738,77.6493038,Apartment,"Electronic City, Bengaluru",1.6039790363986917,0.34783312329434024,7,8,459
3814,ATS NEST Apartment.,12.846391,77.6510066,Apartment,"Electronic City, Bengaluru",1.3418930347921505,0.7157940476105521,9,9,567
3815,Unitech Uniworld Resorts,12.8406761,77.668377,Apartment,"Electronic City, Bengaluru",0.7480071029605362,2.393781489952545,6,6,366
3816,ANR ManjuShri Residency,12.8479551,77.6543304,Apartment,"Electronic City, Bengaluru",1.0205640252863604,1.1016398202184123,6,7,412
3817,Vijay Icon Apartments,12.8353315,77.680628,Apartment,"Electronic City, Bengaluru",2.176340287373185,3.788382443734527,15,16,984
3818,Qaiser Residency,12.8384613,77.6432041,Apartment,"Electronic City, Bengaluru",2.309300363401319,0.5065325141834384,11,12,723
3819,Sreevaru Srivasine,12.8454254,77.6528875,Apartment,"Electronic City, Bengaluru",1.1322522411449338,0.8147136002880742,8,9,542
3821,Hamzafar apartments,12.838015,77.6465075,Apartment,"Electronic City, Bengaluru",1.9939434919596715,0.42655755256970496,10,11,643
3823,Rs appartment,12.8477409,77.6826744,Apartment,"Electronic City, Bengaluru",2.115170301175309,3.9943486613794246,13,13,806
3824,K and T's Sai Serenity,12.8496018,77.6495345,Apartment,"Electronic City, Bengaluru",1.571491631683277,0.929639352725998,8,9,537
3825,Sairam Palace,12.8428092,77.64542,Apartment,"Electronic City, Bengaluru",1.9607642969011472,0.1454962904964451,9,10,588
3826,Manasi Apartment,12.8481506,77.6818324,Apartment,"Electronic City, Bengaluru",2.031399622142243,3.9122325179985893,13,14,830
3827,Ajmera Infinity Apartments,12.8425178,77.6476291,Apartment,"Electronic City, Bengaluru",1.7293471898416328,0.15939076161647914,13,13,807
3828,Prime city Apartments,12.8489751,77.6496914,Apartment,"Electronic City, Bengaluru",1.5351276718011757,0.8723635820241045,8,9,549
3829,Nikhil Apartment,12.8562437,77.6781512,Apartment,"Electronic City, Bengaluru",2.018041469264816,3.803114430970274,15,15,893
3831,MJR Clique Hercules,12.8299964,77.6658536,Apartment,"Electronic City, Bengaluru",1.7194763678056253,2.493376711304149,8,9,514
3833,SAI NILAYAM,12.8446277,77.6446252,Apartment,"Electronic City, Bengaluru",2.029076365112734,0.3601922189275629,10,11,669
3835,Murugan Apartment,12.8328312,77.6680637,Apartment,"Electronic City, Bengaluru",1.4745417860424108,2.5607150057696817,8,8,479
3837,Concorde Tech Turf,12.8320597,77.6554395,Apartment,"Electronic City, Bengaluru",1.6991941901401857,1.4696568839961404,7,8,458
3838,Sanvi Elite,12.8453427,77.6505581,Apartment,"Electronic City, Bengaluru",1.3846723944111876,0.6010134024844983,9,10,609
3839,Shrujana Nilaya,12.8462771,77.6551591,Apartment,"Electronic City, Bengaluru",0.8929855230701914,1.0765262399804527,7,7,441
3840,Balaji Brundhavanam,12.847469,77.6522501,Apartment,"Electronic City, Bengaluru",1.2259951241036313,0.8959557432868025,8,8,484
3841,"Sai Srinivasa Enclave, Block-A",12.8503289,77.6465365,Apartment,"Electronic City, Bengaluru",1.9057688711036957,0.943389749694073,9,10,591
3842,VBC Oracle Ridge,12.8613593,77.6617621,Apartment,"Electronic City, Bengaluru",1.7978823243179438,2.7397764354306298,17,18,1082
3843,Jmr residency doddathogur electronic city,12.8499759,77.6485998,Apartment,"Electronic City, Bengaluru",1.6807212680058377,0.9367773687545153,9,9,566
3844,SAMK Whitestone Ashraya,12.8322893,77.6657192,Apartment,"Electronic City, Bengaluru",1.4656803488118124,2.3555195860114106,7,8,452
3845,Alps Northbrook,12.8424055,77.6453754,Apartment,"Electronic City, Bengaluru",1.972286595830197,0.12065550747434566,9,10,575
3847,Vijay Krishna Mansion,12.8459356,77.6507647,Apartment,"Electronic City, Bengaluru",1.3642958986203475,0.6617021027455476,9,10,587
3848,Rent At E City,12.8550105,77.6695921,Apartment,"Electronic City, Bengaluru",1.2789194408097557,2.915883154465795,14,15,917
3849,Electronic city site,12.8371517,77.6437083,Apartment,"Electronic City, Bengaluru",2.310588089424992,0.594453076991731,10,12,692
3850,Mahaadeva constructions,12.8334276,77.6561398,Apartment,"Electronic City, Bengaluru",1.5295876788537845,1.4169266210686489,7,7,419
3851,3,12.8498316,77.6544841,Apartment,"Electronic City, Bengaluru",1.0852495879616153,1.2528980462938666,6,7,399
3852,Home,12.8464484,77.6547533,Apartment,"Electronic City, Bengaluru",0.9391266819410411,1.0467797598484714,7,7,436
3853,Subha Omkara,12.8321217,77.666002,Apartment,"Electronic City, Bengaluru",1.4896841012652282,2.3912922150139995,8,8,458
3854,The Lake View Address,12.8334317,77.6696742,Apartment,"Electronic City, Bengaluru",1.4845263549118246,2.69835996190862,9,9,544
3855,Anoop Building,12.8376576,77.6468438,Apartment,"Electronic City, Bengaluru",1.9773193016081279,0.4691851981332314,10,11,659
3856,"No.14, Gowrishikara, Tech City Layout",12.8464053,77.6496887,Apartment,"Electronic City, Bengaluru",1.4843390657838524,0.6240965904307998,9,10,584
3857,Papanna Apartments,12.8566021,77.6786248,Apartment,"Electronic City, Bengaluru",2.083031884885105,3.8664875855518455,15,15,920
3858,"Godrej E-City, Bangalore",12.8517386,77.6527574,Apartment,"Electronic City, Bengaluru",1.3536055208732158,1.3020398177171124,6,7,427
3859,E BLOCK,12.8429066,77.6476183,Apartment,"Electronic City, Bengaluru",1.723397760535529,0.18273867936081958,9,9,561
3860,Banglore home,12.8404408,77.6475333,Apartment,"Electronic City, Bengaluru",1.7945664137435426,0.20367401203610513,8,9,520
3861,Innagai,12.8504074,77.65214,Apartment,"Electronic City, Bengaluru",1.341236135784782,1.1414043645087277,7,7,431
3862,K%26T Sai Swagruha,12.84654,77.6490179,Apartment,"Electronic City, Bengaluru",1.558100699540389,0.5976844598155168,10,11,664
3863,Tarun's Nest,12.8469333,77.652666,Apartment,"Electronic City, Bengaluru",1.1709414836736274,0.8897899578024319,8,8,490
3864,Raunit's Home,12.8407218,77.675671,Apartment,"Electronic City, Bengaluru",1.4300358741111994,3.1834691201805723,8,9,512
3865,Veeranjaneya Apartment,12.855621,77.6693225,Apartment,"Electronic City, Bengaluru",1.3223351524424691,2.9255988372878186,15,16,984
3866,Sreenivasa building,12.8377813,77.6487613,Apartment,"Electronic City, Bengaluru",1.7851638187763916,0.5233524607064672,9,9,546
3868,Sharma Residency Electronic City Bangalore,12.8489445,77.6466452,Apartment,"Electronic City, Bengaluru",1.854581312328441,0.7899257145803472,11,11,687
3869,"Shriram Summitt, Wing 16",12.8357473,77.6686988,Apartment,"Electronic City, Bengaluru",1.2076211512583759,2.5182149535981657,10,10,595
3870,Real-estate,12.8620831,77.6584479,Apartment,"Electronic City, Bengaluru",1.9437582869456327,2.6055661895187097,8,9,523
3871,Monith Residence,12.8372875,77.6808273,Apartment,"Electronic City, Bengaluru",2.0940061296807495,3.7742595683298426,16,17,1030
3872,Vidhaan Residency,12.8428014,77.6456872,Apartment,"Electronic City, Bengaluru",1.9322051376280198,0.12692370962721003,9,10,578
3873,P Ananda Reddy building,12.8516737,77.6639808,Apartment,"Electronic City, Bengaluru",0.7163189694020429,2.2035677587822917,4,4,233
3874,Belaku Building,12.8551406,77.6725167,Apartment,"Electronic City, Bengaluru",1.482634067018791,3.2007240785885647,14,14,844
3876,Akshaykumar current residence,12.8541002,77.6690503,Apartment,"Electronic City, Bengaluru",1.1619649789908275,2.8148750636867983,15,16,973
3877,TMT Building,12.8460667,77.6553587,Apartment,"Electronic City, Bengaluru",0.8688070968525395,1.085496989153729,7,7,447
3878,Shriram Summitt Wing 12,12.836244,77.6692186,Apartment,"Electronic City, Bengaluru",1.1888211613014887,2.5585213604181165,9,9,530
3879,YAP Residence,12.8379706,77.6476242,Apartment,"Electronic City, Bengaluru",1.8859611816360495,0.45332969559264963,10,10,589
3880,"NV Recidency,%23325",12.8389033,77.6490685,Apartment,"Electronic City, Bengaluru",1.7002005554647366,0.44195123560735405,9,9,544
3881,"House no 40, site no 620, 5th cross, neeladri Nagar, electronic city phase 1",12.8372524,77.6486823,Apartment,"Electronic City, Bengaluru",1.8207844026285145,0.5710448821660924,9,9,567
3882,SMP House doddathogur,12.847539,77.6526909,Apartment,"Electronic City, Bengaluru",1.1808557396096278,0.9360329279785606,7,8,466
